25 47
13 17 .
19 26 -
19 16 .
14 16 /
2 30 `
1 27 .
16 11 ,
11 19 '
19 5 ~
9 10 \
22 23 <
15 40 -
8 28 .
22 15 |
14 14 -
8 24 -
23 25 \
16 6 ,
7 30 ,
13 24 \
4 28 !
18 8 (
5 22 (
18 14 |
18 5 -
5 2 ~
18 42 )
4 30 \
6 3 -
9 24 '
8 34 ;
9 14 `
20 37 \
21 24 /
14 39 -
9 12 (
21 12 /
12 26 =
10 8 ,
9 5 -
14 22 ;
6 12 \
12 18 ,
22 4 =
18 4 (
20 38 _
20 10 )
9 23 ~
11 37 _
13 14 /
9 27 /
4 9 `
10 18 \
19 25 |
9 35 a
4 26 !
4 4 \
8 14 \
2 23 ,
7 8 \
9 15 `
5 26 !
19 15 \
8 7 \
4 25 ;
11 24 ~
5 7 \
14 41 -
6 29 ~
6 10 =
4 1 `
15 16 =
11 35 \
6 1 (
14 40 -
15 19 ;
5 10 |
11 39 >
11 21 \
22 5 =
15 37 -
4 6 \
6 7 \
8 25 =
16 45 \
14 17 ,
6 37 .
6 11 ~
10 38 \
9 4 (
2 29 ,
5 39 .
7 11 =
13 25 ,
12 27 /
5 31 !
14 13 ,
9 37 |
2 25 ,
16 15 -
19 9 \
11 38 ;
7 27 ~
6 4 ,
7 6 \
6 9 =
2 26 `
9 18 .
4 24 |
10 10 \
13 37 )
15 23 ;
15 14 (
15 39 -
19 14 )
10 14 (
7 5 ,
6 38 /
14 21 ,
18 24 \
11 10 ,
8 9 \
7 12 ~
12 17 (
10 19 \
14 12 (
17 5 (
22 20 (
7 9 =
20 17 .
9 25 `
12 12 ,
10 23 ~
8 10 =
16 38 -
20 39 \
12 36 \
10 27 |
19 17 _
21 8 /
10 20 .
25 25 >
11 12 -
13 11 (
7 35 ,
3 25 `
9 17 =
8 5 -
20 19 ~
16 10 _
14 25 \
19 18 ,
25 9 /
17 32 !
12 14 (
20 20 .
17 33 ,
4 2 \
17 10 _
7 24 ,
16 12 _
3 31 ;
22 12 |
19 8 (
7 26 ,
18 28 ,
7 2 (
24 25 _
13 13 -
10 11 \
16 9 -
5 5 \
7 25 -
10 16 (
5 29 ~
21 16 /
9 8 \
9 7 ,
19 37 _
12 20 ,
12 21 ;
13 22 ;
15 15 =
17 6 =
5 27 !
8 26 ~
22 6 =
6 28 |
2 27 ,
17 46 )
11 18 ,
23 12 /
17 13 -
18 40 |
3 24 \
19 41 /
17 14 /
11 20 \
22 3 '
8 36 J
15 34 /
15 36 ,
6 30 `
17 35 _
16 43 `
20 7 )
4 5 `
7 37 /
8 27 -
16 14 .
7 7 \
17 38 -
10 12 (
7 23 `
21 2 ,
10 25 =
19 7 (
20 18 /
18 45 _
20 6 \
17 44 \
14 42 -
17 12 -
9 16 =
12 23 \
17 7 '
6 2 -
4 29 ;
25 11 !
8 8 \
10 9 .
15 18 -
15 42 .
11 16 ,
15 24 '
25 27 \
3 23 `
11 36 \
8 11 =
10 35 .
3 27 `
3 26 \
13 26 /
9 6 -
14 19 ,
14 15 -
3 3 .
5 28 !
14 38 -
11 27 |
12 11 (
12 25 ~
7 4 -
13 21 ,
17 37 -
2 28 `
14 18 ;
10 6 (
1 23 .
6 26 |
11 11 -
16 7 .
22 7 ~
14 43 .
9 13 `
5 11 \
14 36 /
7 3 -
14 24 \
23 23 .
1 25 .
19 4 (
6 24 -
12 22 \
19 39 /
25 26 _
21 4 _
18 29 _
20 8 )
5 25 ,
2 24 `
8 23 ~
15 17 ,
13 23 \
11 15 (
11 17 (
4 7 `
21 5 /
21 7 /
6 22 (
5 23 -
3 30 \
5 3 \
14 20 ;
14 37 -
6 5 \
17 39 .
21 6 /
11 25 '
16 16 '
12 19 (
16 37 `
8 29 -
15 22 `
22 8 '
8 13 `
24 26 \
20 13 /
6 8 =
13 18 (
11 22 .
14 23 ,
17 23 ,
17 34 _
16 8 -
7 29 =
4 8 \
8 32 |
11 26 =
9 26 ~
23 14 /
8 4 -
4 3 `
10 7 -
21 21 )
15 41 `
8 33 \
24 13 /
13 20 (
18 44 /
25 10 _
15 20 -
6 31 !
18 46 |
17 11 ,
4 23 ~
18 6 /
8 31 -
7 28 ,
10 24 '
11 9 (
6 27 |
10 34 _
17 41 \
13 16 (
24 11 /
20 25 |
5 8 ;
22 21 ,
20 5 \
9 9 \
8 3 (
18 30 -
3 29 `
4 10 ,
7 10 =
16 13 _
10 33 \
17 31 ,
17 36 _
9 11 (
15 38 -
4 27 ;
11 13 (
5 30 `
15 21 '
13 19 .
3 28 \
8 30 -
17 9 -
10 17 `
10 26 ~
5 6 ;
11 14 ,
22 24 .
24 24 \
10 13 '
7 31 :
6 23 -
21 9 /
10 15 '
23 22 \
19 27 '
6 25 ,
1 29 .
8 37 ,
16 39 -
13 12 ,
7 34 _
12 13 -
24 10 _
19 38 ,
18 7 ~
20 9 )
7 13 \
15 44 \
3 1 .
17 8 ~
14 35 .
8 6 ,
7 32 .
5 4 ;
3 5 .
3 7 .
12 16 ,
16 40 .
4 31 !
15 35 _
25 12 /
19 6 /
5 9 \
20 40 ;
6 6 \
7 36 /
8 12 ~
8 35 /
21 3 _
2 31 ,
5 24 -
17 45 _
