41 50
26 24 :
15 20 :
39 9 *
16 28 .
17 22 :
20 8 :
25 24 .
39 3 %
25 19 .
38 32 :
17 9 :
19 21 :
16 6 :
19 8 :
21 47 :
17 1 .
17 33 :
2 26 .
10 36 :
14 21 :
11 29 :
17 25 :
8 12 :
33 21 *
40 5 %
21 21 :
22 8 :
36 2 %
4 17 :
32 1 %
20 14 .
34 1 %
28 25 :
12 24 :
39 7 +
21 8 :
11 41 :
17 43 :
22 39 :
13 13 :
12 25 :
5 19 :
32 32 :
41 9 .
40 32 +
17 17 :
18 30 :
21 22 :
22 13 :
13 2 :
4 16 :
5 15 :
11 36 :
12 13 :
12 43 :
14 23 :
18 41 :
23 31 :
25 16 :
8 32 .
32 14 %
12 2 :
18 12 :
19 29 :
16 45 :
16 13 :
22 21 :
16 22 :
24 17 :
27 28 :
21 40 :
14 42 :
22 11 :
24 36 .
18 13 :
17 39 :
20 23 :
10 16 :
22 48 .
33 4 =
40 24 %
37 21 %
15 43 :
18 11 :
15 25 :
19 42 :
38 13 %
18 46 :
23 32 :
32 43 %
1 28 :
22 31 :
2 24 :
12 4 :
12 27 :
1 24 :
4 26 .
19 14 :
35 3 %
15 23 :
17 7 :
9 29 :
33 38 #
20 46 :
7 15 :
36 15 -
32 24 *
36 22 %
13 33 :
19 36 :
24 19 :
22 27 :
22 18 :
11 40 :
33 41 %
15 5 :
37 40 %
12 35 :
24 21 :
19 35 :
20 35 :
27 25 :
12 6 :
19 3 :
17 24 :
36 45 %
13 19 :
11 37 :
9 32 :
35 2 %
14 33 :
14 15 :
37 42 %
25 12 :
39 39 %
34 24 =
21 30 :
38 2 %
6 7 .
38 1 *
17 35 :
1 27 :
21 12 :
27 15 :
9 37 :
10 35 :
34 12 %
12 9 :
39 24 %
6 12 :
35 21 %
39 14 =
16 33 :
16 39 .
18 17 :
26 21 :
32 42 %
11 26 :
14 28 :
6 17 :
16 34 :
16 38 .
34 13 %
38 19 :
38 39 %
13 41 :
26 30 :
17 32 :
23 36 :
33 12 %
20 19 :
37 13 %
16 18 :
24 14 :
19 44 :
19 15 :
16 48 :
23 15 :
16 25 :
20 11 :
36 39 %
9 35 :
27 23 :
40 41 *
11 2 .
23 44 :
32 25 %
37 49 =
24 34 .
23 6 :
13 29 :
24 28 :
24 38 :
33 48 %
23 39 :
8 33 :
32 4 =
14 32 :
22 28 :
25 27 .
15 10 :
32 31 *
39 38 #
36 19 #
2 25 :
13 24 :
15 24 :
15 28 :
10 14 :
8 15 :
13 39 :
12 11 .
10 30 :
33 13 %
40 29 %
33 45 %
22 23 .
37 15 :
21 10 :
17 30 :
41 26 .
11 30 :
38 23 %
16 27 :
18 38 :
16 7 :
19 30 :
22 19 :
32 45 %
5 16 :
32 41 %
35 41 *
25 30 :
16 14 :
11 25 :
10 33 :
14 6 :
39 40 %
10 34 :
40 23 #
8 5 :
19 18 :
33 33 %
14 41 :
4 11 :
37 14 %
11 43 .
32 39 %
22 26 .
18 4 :
14 24 .
21 20 :
26 16 :
35 12 %
33 29 %
15 22 :
33 28 %
23 17 :
17 36 :
6 15 :
16 1 .
15 29 :
16 2 :
33 14 %
16 8 :
38 40 %
3 16 :
37 46 %
21 5 :
11 31 :
3 22 :
21 6 :
23 10 :
17 26 :
10 6 :
22 22 :
35 23 -
24 37 :
33 39 %
14 16 :
13 4 :
39 10 %
18 26 :
15 12 :
32 38 #
25 33 :
34 39 %
13 8 :
23 11 :
26 14 :
32 13 %
18 39 :
21 29 :
12 12 :
2 21 :
20 17 :
18 20 :
13 11 .
8 11 :
18 9 :
11 19 :
16 17 :
2 22 :
37 22 %
19 13 :
18 47 :
26 26 :
13 21 :
27 27 :
15 1 :
14 13 .
19 7 :
37 41 %
17 3 :
40 40 %
11 32 :
21 15 :
22 44 .
18 16 :
17 2 :
2 18 .
14 34 :
12 10 .
18 18 :
38 21 %
4 14 :
32 47 %
18 36 :
14 11 :
18 40 :
22 47 :
24 8 :
32 30 %
17 38 :
7 17 :
17 47 :
25 37 .
21 4 .
22 9 :
4 29 :
37 2 %
21 41 :
24 23 :
10 17 :
23 9 .
18 3 :
19 33 :
26 31 .
10 18 :
37 19 *
15 15 :
36 12 %
24 16 :
35 1 %
15 21 :
9 42 .
10 9 :
27 21 :
17 10 :
38 11 *
20 5 :
18 7 :
22 14 :
13 31 :
15 7 :
24 35 :
11 8 :
14 45 :
14 20 :
23 20 :
23 45 :
21 39 :
7 6 :
17 5 :
23 26 :
39 5 %
19 43 :
20 22 :
13 9 :
13 42 :
34 14 %
8 17 :
34 31 *
36 4 +
5 28 :
17 21 :
24 9 :
39 13 %
17 44 :
19 48 :
9 40 :
22 36 :
27 22 :
25 9 .
18 24 :
39 20 :
28 22 :
14 29 :
36 11 :
12 26 :
20 6 :
4 20 :
16 46 :
20 7 :
26 18 :
9 41 :
3 19 :
2 20 :
22 16 :
9 6 :
9 31 :
18 29 :
39 25 %
9 36 :
16 37 :
5 13 :
11 18 :
15 11 :
15 19 :
19 9 :
13 40 :
10 31 :
5 9 :
15 32 :
8 13 :
16 29 .
17 13 :
17 12 :
35 19 *
19 23 :
21 33 :
15 46 :
21 19 .
12 40 :
39 4 %
11 11 :
15 30 :
34 40 %
38 12 %
19 28 :
18 44 :
9 12 :
38 3 %
10 41 :
19 12 :
17 34 :
14 14 :
12 18 :
10 40 :
21 48 :
20 37 :
40 38 #
16 36 :
27 19 :
25 28 :
26 27 :
20 33 :
8 42 .
35 14 %
33 49 %
23 22 :
16 9 :
12 17 :
37 11 :
22 32 :
21 14 :
26 13 :
13 32 :
10 39 :
21 23 :
19 5 :
6 14 :
17 42 :
33 15 -
19 27 :
28 21 :
33 43 %
20 9 :
36 42 %
4 18 :
39 28 +
11 38 :
24 26 :
15 44 :
16 30 :
37 43 %
20 12 :
16 21 :
23 28 .
14 9 :
25 13 :
24 32 :
13 43 :
32 49 %
19 26 :
20 30 :
3 18 :
36 46 %
8 41 :
14 30 :
18 23 :
20 3 .
36 3 %
13 34 :
19 22 :
15 3 :
40 27 %
11 6 :
17 8 :
20 36 .
11 28 :
18 5 :
25 11 :
20 13 .
39 12 %
40 3 =
22 34 :
21 34 :
3 28 .
15 34 :
17 15 :
34 41 *
16 12 :
19 46 :
38 20 %
32 27 %
15 31 :
28 20 :
12 8 :
3 20 :
41 29 .
38 14 %
15 6 :
16 11 :
18 35 :
12 15 :
12 41 :
18 45 .
4 27 :
16 44 :
9 15 :
36 44 %
33 44 %
39 33 %
17 28 :
15 35 :
11 35 :
3 21 :
17 29 :
11 33 :
37 44 #
24 20 :
32 15 :
41 6 .
25 26 .
9 10 .
36 49 =
21 28 :
16 19 :
22 45 :
37 45 %
15 9 :
4 30 :
10 7 :
17 48 :
10 37 :
39 1 :
34 22 %
4 19 :
40 9 %
10 38 :
24 29 :
32 44 %
22 20 :
38 31 :
17 45 :
20 40 :
18 14 :
33 3 %
14 2 :
10 11 :
15 42 .
33 32 %
5 11 :
14 17 :
23 40 :
39 27 =
5 18 :
34 3 %
32 46 %
40 25 %
21 35 :
12 19 :
16 3 :
12 29 :
14 22 :
14 12 .
39 29 *
34 2 %
9 14 :
9 34 :
39 11 %
10 15 :
9 11 :
14 47 :
27 16 :
1 31 :
34 4 +
15 2 :
20 32 :
27 26 :
23 18 :
14 26 :
16 31 :
37 12 %
37 1 %
16 10 :
33 31 %
38 38 #
19 38 :
25 18 .
20 25 :
7 14 :
9 7 :
21 9 :
35 40 %
1 32 .
7 13 :
22 35 :
18 31 :
14 48 :
10 12 :
39 41 *
24 7 .
13 16 :
33 47 %
41 7 .
14 1 :
36 21 %
20 10 :
21 11 :
35 11 :
40 8 %
8 9 :
22 30 :
4 28 :
21 42 :
21 26 :
35 22 %
21 16 :
9 38 :
17 20 :
13 12 :
26 23 :
21 45 :
32 28 %
11 42 :
8 8 :
19 40 :
23 24 :
33 34 :
32 50 +
19 34 .
19 6 :
35 13 %
37 23 :
6 9 :
15 16 :
37 38 #
20 31 :
21 27 :
32 40 %
12 36 :
14 43 .
24 39 .
11 4 :
19 17 :
38 15 :
20 47 :
25 25 .
14 27 :
18 28 :
36 43 %
17 4 :
1 25 :
37 3 %
11 15 :
26 25 :
36 20 %
12 32 :
19 11 :
26 15 :
40 12 *
11 17 :
13 14 :
40 28 %
2 23 :
20 28 .
23 25 :
41 28 .
25 15 :
41 27 .
18 15 :
7 16 :
13 28 :
37 4 +
26 17 :
11 39 :
34 20 #
10 29 :
40 6 %
33 46 %
25 31 :
38 22 %
13 27 :
9 16 :
15 48 :
17 19 :
6 13 :
9 5 :
23 19 :
23 27 :
24 15 :
5 29 :
18 42 :
17 27 :
32 2 %
16 15 :
18 2 :
23 33 :
39 21 %
8 37 :
12 5 :
17 23 :
33 30 %
13 20 :
18 48 :
21 24 :
21 17 .
10 13 :
39 26 *
12 33 :
33 1 %
24 10 :
41 8 .
13 15 :
19 47 :
26 28 :
15 33 :
36 38 #
7 7 :
36 40 %
6 11 .
22 46 :
25 23 .
7 11 :
1 30 :
40 7 %
27 17 :
13 7 :
20 43 :
21 36 .
3 17 :
15 47 :
34 15 -
13 1 .
13 26 :
9 39 :
18 25 :
20 4 :
18 10 :
33 11 :
40 11 %
24 13 .
38 5 .
15 13 :
25 29 :
12 16 :
24 33 :
39 8 +
34 38 #
33 2 %
36 14 %
17 41 :
22 15 :
20 15 :
35 38 #
11 16 :
20 38 :
19 4 :
23 35 :
10 8 :
10 5 :
32 3 %
20 20 :
28 24 :
7 8 :
19 16 :
26 22 :
8 14 :
39 2 %
36 13 %
13 18 :
6 10 :
13 17 :
15 8 :
16 24 :
33 40 %
